customer_id,first_name,last_name,email_address,gender,registration_date,state,phone,zip_code,is_active
CLI-031584,Esther,Santana Sotelo,maria-del-carmenacevedo@example.org,F,22/08/2021,Jalisco,998-6262-3441 ext. 381,84167,TRUE
CLI-039015,Timoteo,Soria Tejeda,esquivelguillermina@example.net,F,27/08/2022,Nuevo León,55-4840-0244,43918,True
CLI-014986,Adela,Macías Jaimes,javieralvarez@example.org,M,21/02/2022,Jalisco,442-4528-0951,21887,TRUE
CLI-002292,Concepción,Maya Murillo,federicoojeda@example.net,F,10/02/2020,Nuevo León,442-3064-8484,56998,True
CLI-032782,Mauricio,Montaño Zamudio,soledad25@example.com,M,13/05/2022,Jalisco,81-1663-5599,24780,TRUE
CLI-024824,Rubén,Cantú Jáquez,guadalupe13@example.net,N/A,28/01/2024,Jalisco,998-2956-9971,70011,True
CLI-018341,María Elena,Zepeda de la O,mmedrano@example.com,F,04/04/2019,Nuevo León,81-4863-6025,38734,true
CLI-028525,Sergio,Elizondo Morales,pamela18@example.org,F,18/07/2019,Nuevo León,442-9212-9293,83473,true
CLI-020999,Salma,Alcaraz Partida,montanoeric@example.org,No especificado,26/02/2024,Jalisco,33-5177-7845,94892,true
CLI-031615,Hernán,Casillas Correa,,M,24/03/2023,Nuevo León,442-5622-8427,73625,TRUE
CLI-052650,Barbara,Urías Reyna,mejiavictor@example.net,F,30/12/2019,Nuevo León,55-2079-2172,62410,False
CLI-003467,Lorenzo,Cortés Jimínez,clementeacosta@example.org,No especificado,02/07/2022,Jalisco,222-5454-2551,49820,True
CLI-007965,Rebeca,Camarillo Montero,rodriquezmarisol@example.org,No especificado,14/02/2021,Nuevo León,81-2351-1949,11399,TRUE
CLI-000273,María Eugenia,Vásquez Santillán,joaquin88@example.net,F,03/11/2023,Jalisco,998-4152-3856,22421,TRUE
CLI-005447,Federico,Saavedra Sanabria,sonia89@example.com,F,17/05/2021,Nuevo León,55-6029-1123,93986,true
CLI-011699,Evelio,Cotto Archuleta,ana-luisa13@example.net,F,15/01/2024,Nuevo León,81-1849-4829 ext. 8325,21248,TRUE
CLI-029141,Clara,Padilla Becerra,ivonne82@example.net,F,15/07/2020,Jalisco,222-1568-8491 ext. 847,49208,true
CLI-017473,Aldonza,Santacruz Zapata,mitzybanuelos@example.com,F,04/01/2021,Jalisco,442-1762-9849,66572,FALSE
CLI-052521,Arcelia,Roybal Piña,carlotavaca@example.org,M,28/07/2022,Jalisco,442-2662-8023,83583,TRUE
CLI-003322,Carlota,Ballesteros Gamez,tafoyacamila@example.com,F,19/08/2022,Nuevo León,81-0425-4155,31483,true
CLI-014263,Magdalena,Villa Ruiz,,F,07/06/2022,Nuevo León,998-3908-3160 ext. 1461,15843,false
CLI-041818,Verónica,Jaime Leiva,geronimocamarillo@example.com,F,14/07/2023,Nuevo León,33-4541-8535 ext. 9250,59129,False
CLI-014262,Joaquín,Llamas Olivo,saucedohugo@example.org,M,21/11/2023,Nuevo León,998-2694-4215,79550,FALSE
CLI-015151,Perla,Espinal Quintanilla,bquezada@example.com,M,04/01/2023,Nuevo León,33-7725-6095,36011,true
CLI-038664,Karina,Véliz Iglesias,rzambrano@example.org,F,24/08/2021,Nuevo León,222-0316-0365,93604,True
CLI-017239,Lucía,Linares Mejía,duartemaria-cristina@example.net,F,15/12/2020,Jalisco,81-9224-9810,16647,TRUE
CLI-012549,Raquel,Pantoja Alcántar,alfredo92@example.com,F,06/02/2021,Nuevo León,998-3407-0867,63404,true
CLI-000752,Anabel,Cornejo Garica,gilberto13@example.net,No especificado,01/03/2023,Nuevo León,222-4316-3299,68383,TRUE
CLI-017983,Salma,Ávila Suárez,eteran@example.net,M,19/02/2019,Jalisco,33-5455-0150,72456,TRUE
CLI-000045,Pamela,Negrón Domínguez,,M,17/03/2023,Nuevo León,33-7427-2390,76789,true
CLI-011859,Nadia,Treviño Zapata,de-jesusrodrigo@example.net,M,08/08/2021,Jalisco,442-4728-9074 ext. 8344,25930,TRUE
CLI-003589,Jorge Luis,Osorio Jasso,ramonbetancourt@example.com,No especificado,18/07/2020,Nuevo León,33-0857-9046,89831,True
CLI-033155,Bruno,Orozco Solano,hermelindaaranda@example.net,M,10/08/2021,Nuevo León,442-1715-6276,None,True
CLI-033171,Juan Carlos,Treviño Arteaga,riveraliliana@example.net,M,12/04/2024,Nuevo León,222-4432-2129,50984,True
CLI-051682,Laura,Esquibel Merino,rosaliade-la-torre@example.com,F,24/09/2020,Jalisco,222-2535-9715,68225,True
CLI-005216,Araceli,Casárez Montañez,,No especificado,16/04/2024,Jalisco,442-6733-3811 ext. 1110,91841,TRUE
CLI-049296,Salma,Morales Ulloa,mariano78@example.org,F,29/01/2024,Nuevo León,81-4334-8750,84575,TRUE
CLI-024501,Carmen,Bañuelos Tamayo,nbrito@example.net,M,28/08/2024,Nuevo León,55-8313-4759,95567,false
CLI-007410,Úrsula,Sotelo Gutiérrez,ignaciocarrasco@example.org,F,21/11/2019,Jalisco,222-5465-1787 ext. 5493,26187,true
CLI-015169,Esperanza,Coronado Ocampo,porfirio88@example.com,F,09/04/2024,Jalisco,442-9036-6530,31760,True
CLI-049682,Israel,Morales Reynoso,maria18@example.org,No especificado,16/07/2024,Nuevo León,33-7300-6841,75510,TRUE
CLI-019499,Socorro,Berríos Aponte,maciasrafael@example.org,No especificado,29/04/2024,Jalisco,81-8313-5536,70201,TRUE
CLI-001550,Eugenia,Serrano Jaramillo,pugaarturo@example.com,F,28/10/2020,Nuevo León,222-7245-2104,37800,true
CLI-041333,Dulce María,Cepeda Prado,mateohoracio@example.net,M,07/05/2024,Nuevo León,442-6860-0917,79460,True
CLI-015466,Gerardo,Canales Tirado,isabelguevara@example.net, ,04/08/2021,Nuevo León,55-1780-7121,62443,TRUE
CLI-034717,Fidel,Aparicio Valdés,olivia90@example.org,M,05/10/2021,Jalisco,33-0500-3767,37425,TRUE
CLI-037273,Alejandro,Toledo Acevedo,eugenia73@example.org,M,28/09/2022,Nuevo León,222-7782-7830,92538,true
CLI-014137,Yolanda,Estrada Rosas,porrasleonel@example.net,No especificado,26/10/2023,Jalisco,33-6296-7600,18064,True
CLI-010399,Aldonza,Corral Arellano,restrada@example.net,M,25/03/2020,Jalisco,33-9821-1148 ext. 7918,73727,TRUE
CLI-040349,Amelia,Lovato Padilla,riojasbenito@example.org,M,27/02/2024,Nuevo León,222-2879-1147,-,true
CLI-015906,Felipe,Soliz Puga,david78@example.com,M,23/02/2023,Nuevo León,55-7678-3045,50210,True
CLI-043403,Barbara,Vera Chapa,evamoreno@example.org,No especificado,17/03/2023,Nuevo León,55-8795-1968,65668,true
CLI-050470,José Luis,Arellano Jaramillo,arteagamitzy@example.net,F,08/02/2024,Nuevo León,442-5404-6395,89883,true
CLI-022700,María,Velasco Hernandes,sevillasilvano@example.org,M,04/03/2022,Jalisco,81-7700-5016,68644,true
CLI-007439,Esmeralda,Vélez León,wlucio@example.com,M,05/03/2021,Nuevo León,442-7107-2449,82289,false
CLI-018330,Zeferino,Acosta Méndez,arandaestela@example.net,M,31/05/2024,Jalisco,442-1579-7528,72126,true
CLI-025523,Alicia,Serrano Valverde,fchacon@example.net,M,02/05/2023,Nuevo León,81-8407-2131,64896,TRUE
CLI-026774,Yolanda,Juárez Toledo,negreteleonor@example.org,F,13/08/2022,Jalisco,222-5103-9395,19227,False
CLI-001239,Paola,Pizarro Vázquez,maurosolorzano@example.org,M,01/05/2021,Jalisco,55-9634-2966,41337,false
CLI-034399,Josefina,Aguirre Magaña,salmasantillan@example.net,M,08/01/2023,Nuevo León,998-6460-6897,68961,true
CLI-050679,Felix,Tejeda Cruz,lucas68@example.com,M,07/08/2022,Jalisco,442-4841-8131,91297,True
CLI-012514,Anel,Montoya Patiño,clemente34@example.com,M,08/11/2023,Jalisco,55-6339-7044,74822,TRUE
CLI-045530,Daniela,Curiel Alonso,leonardo90@example.com,F,29/01/2024,Nuevo León,55-3998-9008,91036,True
CLI-001550,Eugenia,Serrano Jaramillo,pugaarturo@example.com,F,28/10/2020,Nuevo León,222-7245-2104,37800,true
CLI-022701,Yolanda,Malave Godínez,silvanovillareal@example.org,No especificado,28/01/2019,Nuevo León,55-3183-6994,21648,true
CLI-050880,Irene,Estrada Alonso,sandravaca@example.net,F,29/10/2024,Nuevo León,33-3883-8320 ext. 1009,71425,true
CLI-027135,Jos,Cabrera López,emilio06@example.com,M,03/06/2019,Jalisco,55-9190-2618 ext. 3023,28344,True
CLI-042532,Teresa,Sanches Rodrígez,plucero@example.com,F,10/08/2023,Jalisco,81-1487-6243 ext. 7044,79379,True
CLI-001554,Zacarías,Delgado Rosado,bernardo09@example.com,M,06/09/2019,Nuevo León,55-5644-2747,30526,true
CLI-008937,Arcelia,Miramontes Alvarez,,No especificado,26/05/2023,Jalisco,222-6666-3509,77798,True
CLI-042678,Salma,Paz Arredondo,socorro74@example.org,F,25/11/2019,Jalisco,81-7155-0264,10809,True
CLI-038625,Esmeralda,Olivo Gracia,monterojuana@example.org,F,03/04/2021,Jalisco,81-7160-8861,86920,True
CLI-014060,Adela,Orosco Vaca,georginaserrano@example.net,F,07/05/2020,Nuevo León,998-8692-9198,95703,TRUE
CLI-014716,Roberto,Ceja Llamas,cruzlilia@example.net,M,10/10/2021,Jalisco,81-7163-4441,73796,true
CLI-043241,Wendolin,Calvillo Treviño,estevezjosefina@example.com,M,23/07/2023,Jalisco,81-5069-5160,n/a,True
CLI-045418,Rebeca,Zedillo Ramón,marcos87@example.org,M,28/04/2021,Jalisco,81-2074-2634,13112,True
CLI-043100,Esparta,Ramos Domínguez,pilarceja@example.net,M,25/05/2021,Jalisco,442-8018-1294,28584,False
CLI-028627,Octavio,Pineda Castro,casarezantonia@example.net,M,26/11/2019,Nuevo León,442-4463-8363,42996,TRUE
CLI-052337,Teresa,Fernández Candelaria,aurelio03@example.com,NA,02/07/2024,Jalisco,222-9268-1474,86368,False
CLI-045204,Martha,Collazo Madrid,,M,08/01/2023,Nuevo León,33-3622-6362 ext. 6736,79384,True
CLI-002571,Genaro,Ceja Reyna,socorro65@example.com,F,15/11/2021,Nuevo León,33-5862-5176,50513,TRUE
CLI-039136,Rebeca,Jiménez Ramírez,susanatello@example.com,F,28/04/2024,Jalisco,81-5634-6702,43157,True
CLI-048836,Abelardo,Alonzo Pizarro,pacuna@example.com,F,21/01/2022,Jalisco,442-3832-6302 ext. 7536,68336,true
CLI-045003,Indira,Marroquín Madera,federicolimon@example.net,M,17/06/2021,Jalisco,81-3349-5910,39902,true
CLI-007201,María José,Marrero Olmos,patriciaarguello@example.org,No especificado,09/02/2021,Nuevo León,55-5947-2127,89159,TRUE
CLI-007077,Luis Manuel,Haro Rangel,pascualposada@example.net,F,27/05/2022,Jalisco,33-2290-7907,55479,TRUE
CLI-024080,Marisol,Collazo Manzanares,raquel68@example.org,F,02/06/2021,Nuevo León,33-3941-9125,64631,FALSE
CLI-000162,Judith,Pichardo Pichardo,guajardocarmen@example.org,F,15/03/2022,Nuevo León,81-2269-8998 ext. 1083,72929,TRUE
CLI-018390,Cristina,Fonseca de la Fuente,estevezzoe@example.com,M,03/06/2024,Nuevo León,33-6231-7305,54305,true
CLI-047035,José María,Mesa Nieto,zoe41@example.net,M,28/07/2023,Jalisco,55-1628-0051,63107,True
CLI-030358,Jaqueline,Fajardo Anaya,leticia63@example.net,None,13/03/2024,Jalisco,33-6507-8409 ext. 3087,59394,true
CLI-040467,Ángela,Armenta Cortés,graciela14@example.com,M,17/09/2019,Jalisco,81-2798-0600 ext. 3652,47909,False
CLI-040730,Roberto,Sáenz Gutiérrez,ibarrasocorro@example.net,No especificado,04/07/2021,Nuevo León,998-0162-0938,35859,True
CLI-028984,Cristal,Duarte Huerta,dolores48@example.org,F,18/06/2022,Jalisco,998-4880-6813 ext. 4826,62243,true
CLI-049179,Nelly,Balderas Macías,ybriones@example.com,F,26/06/2019,Nuevo León,442-1155-6909,96172,true
CLI-002357,Víctor,Urrutia Patiño,szapata@example.com,M,15/04/2019,Nuevo León,998-1517-5690,66860,true
CLI-006176,Silvia,Otero Anaya,mirandafabiola@example.com,F,29/07/2023,Nuevo León,442-8134-2637,61111,FALSE
CLI-046156,Alta  Gracia,Báez Corona,emadrigal@example.com,M,19/03/2020,Jalisco,998-9193-6644,81732,TRUE
CLI-023702,Cristina,Ulibarri Canales,rubiojesus@example.org,N/A,21/09/2021,Nuevo León,222-0181-8760,92444,TRUE
CLI-000098,Concepción,Rivera Mascareñas,segoviagonzalo@example.com,F,05/01/2024,Nuevo León,33-1000-9471,74878,True
CLI-025072,Julia,Avilés Carbajal,tbaeza@example.com,M,18/03/2019,Nuevo León,81-5047-0239,52728,TRUE
CLI-000687,José Emilio,Naranjo Negrete,georgina66@example.com,F,15/02/2020,Jalisco,998-1899-4293 ext. 5876,88725,TRUE
CLI-047215,Enrique,Perales Echeverría,ecaldera@example.org,M,18/01/2021,Jalisco,998-1635-7887 ext. 6219,16431,true
CLI-019945,Cristobal,Covarrubias Trejo,julia96@example.net,M,30/08/2019,Nuevo León,998-3612-7956,N/A,True
CLI-019944,Yolanda,Lerma Barrera,ubenitez@example.com,M,21/12/2024,Jalisco,998-5892-9143 ext. 4751,62103,True
CLI-018022,Jos,Barajas Huerta,arcecatalina@example.com,F,26/06/2019,Nuevo León,222-7307-6135,56752,true
CLI-034919,Indira,Alonso Zepeda,isabelvenegas@example.com,M,07/02/2021,Jalisco,222-3077-7452,44092,FALSE
CLI-002229,Adela,Vega Mayorga,caridadsantillan@example.com,none,04/11/2020,Jalisco,81-1643-6927 ext. 2757,85255,TRUE
CLI-004762,Itzel,Raya Carranza,uriberosalia@example.org,F,08/02/2024,Jalisco,442-2203-0626,27413,True
CLI-044009,Dulce María,Candelaria Mejía,alejandrosantillan@example.com,F,14/06/2020,Jalisco,33-8286-2589 ext. 7340,78115,true
CLI-014448,Isabela,López Madrigal,imena@example.com,F,16/12/2022,Nuevo León,222-5332-6896,45690,true
CLI-013998,Laura,Gil Cavazos,lugolucia@example.net,M,15/06/2023,Nuevo León,81-4704-2330 ext. 2227,70851,TRUE
CLI-032159,Delia,Treviño Candelaria,lmota@example.net,F,29/04/2024,Nuevo León,33-7873-7644 ext. 8682,53279,TRUE
CLI-052348,Elsa,Esparza Berríos,abigailvaldez@example.org,M,20/08/2023,Nuevo León,442-5183-7384,32462,true
CLI-012102,Dalia,Negrón Chavarría,renato38@example.net,F,29/12/2020,Nuevo León,33-6986-2687,84717,True
CLI-014241,Ramiro,Varela Raya,kquintero@example.org,F,01/05/2023,Jalisco,81-9100-3614,47522,True
CLI-010593,Gerardo,Alba Valdivia,cristobal80@example.net,,29/01/2023,Nuevo León,998-4696-1733,79915,True
CLI-050424,Jorge Luis,Madrid Briseño,carranzatania@example.net,F,18/11/2019,Nuevo León,442-3591-5948,None,True
CLI-003497,Mauricio,Meza Toledo,fridagrijalva@example.net,F,20/08/2020,Nuevo León,33-2314-7444,83346,true
CLI-030265,Carlos,Colunga Olivares,glorianieves@example.net,F,29/06/2021,Jalisco,55-3383-7660,91161,True
CLI-018656,Silvia,Rosado Avilés,tfarias@example.org,M,05/08/2021,Jalisco,998-9626-2336,28395,TRUE
CLI-039603,Estela,Salcedo Montemayor,vzaragoza@example.com,No especificado,09/08/2020,Nuevo León,33-9231-0871,98679,TRUE
CLI-047540,Javier,Olmos Urrutia,eugeniaavila@example.net,M,31/07/2024,Jalisco,55-6907-0092,52234,True
CLI-008444,Florencia,Valle Alba,angelica84@example.org,F,16/03/2020,Jalisco,55-6054-6676 ext. 581,66083,true
CLI-043787,Angélica,Leal Riojas,genaroromo@example.com,M,19/08/2023,Jalisco,998-1537-0877,36450,TRUE
CLI-026646,Zacarías,Mercado Espinosa,fridaponce@example.org,F,22/07/2020,Nuevo León,442-5314-6642,80030,True
CLI-023015,Antonio,Armenta Cruz,jcamacho@example.org,M,27/03/2024,Nuevo León,55-2948-8976 ext. 3924,28336,TRUE
CLI-048838,Reynaldo,Echeverría Yáñez,,M,24/10/2021,Jalisco,55-0091-1723,64775,True
CLI-042875,Ofelia,Niño Nájera,mayteverduzco@example.org,F,11/05/2020,Jalisco,55-6147-6470,19074,true
CLI-031962,Javier,Cisneros Gil,hzarate@example.net, ,07/06/2023,Jalisco,33-3670-1360,34503,TRUE
CLI-047205,Natividad,Cardenas Lucero,cvaldes@example.com,M,12/06/2019,Nuevo León,81-6296-6751,81732,true
CLI-038672,Alejandra,Henríquez Meléndez,,F,12/01/2020,Nuevo León,442-8278-9103,13009,TRUE
CLI-048074,Julia,Marroquín Terán,medinaeric@example.com,M,09/03/2022,Jalisco,81-0113-5015,52563,true
CLI-046248,Jonás,Lovato Madrid,,F,04/02/2024,Jalisco,55-0883-9313,67999,true
CLI-031833,Margarita,Menéndez Reséndez,abril10@example.com,No especificado,21/01/2019,Nuevo León,33-0112-8256,66924,TRUE
CLI-045821,Amelia,Salcedo Cantú,fuentesclaudia@example.com,M,29/09/2022,Jalisco,33-1695-1930,15386,True
CLI-005351,Hermelinda,Estévez Soto,zpaez@example.net,F,12/06/2023,Nuevo León,222-2269-6548,84356,True
CLI-042667,Ignacio,Zayas Treviño,calderarosario@example.com,M,07/10/2020,Jalisco,55-6992-7355,12273,TRUE
CLI-016670,Lorena,Solano Macías,bsolorio@example.net,null,13/05/2021,Nuevo León,222-8840-9752,65548,true
CLI-009330,Mariana,Niño Armas,adela16@example.com,M,29/11/2021,Nuevo León,81-3343-7933,49427,TRUE
CLI-022757,Florencia,Munguía Centeno,smercado@example.org,,23/01/2021,Nuevo León,222-7263-3567,92438,true
CLI-046520,Roberto,Rolón Correa,maganacaridad@example.net,F,31/07/2024,Jalisco,81-5291-6559,55849,True
CLI-012709,Natividad,Puga Peralta,pichardoelvia@example.com,F,30/01/2021,Jalisco,55-9166-4453,48890,true
CLI-025286,Alta  Gracia,Cantú Zúñiga,parralilia@example.com,F,23/12/2019,Nuevo León,998-9654-1748 ext. 5981,62921,true
CLI-041947,Blanca,Chávez Villegas,torosocorro@example.org,F,24/10/2020,Nuevo León,33-7232-3815,36936,true
CLI-047616,Graciela,Henríquez Castañeda,calvillomario@example.com,M,08/03/2021,Jalisco,442-4867-1085,38261,False
CLI-016430,Omar,Vásquez Quintero,luciacontreras@example.net,F,15/01/2021,Jalisco,442-7596-0638,67502,True
CLI-003986,Ignacio,Carranza Trujillo,arredondocynthia@example.com,F,07/12/2022,Nuevo León,222-1917-0782 ext. 4641,74825,true
CLI-047072,Gonzalo,Díaz Morales,juanabarajas@example.com,F,21/01/2022,Nuevo León,222-1715-1983,63119,TRUE
CLI-019358,José María,Arriaga Luevano,fidelhernandez@example.com,M,02/05/2023,Jalisco,222-7892-6023,12370,True
CLI-029270,Diego,Vázquez Mendoza,juliacornejo@example.net,No especificado,11/04/2021,Jalisco,55-7793-6637,43404,TRUE
CLI-047365,Norma,Arce Granados,vdel-rio@example.net,No especificado,21/08/2024,Nuevo León,33-5056-1052 ext. 7539,31812,TRUE
CLI-007024,Wilfrido,Montalvo Tafoya,isaacharo@example.org, ,13/08/2022,Nuevo León,222-6604-7821,66223,true
CLI-017859,Benito,Serrano Barragán,razoluis-manuel@example.org,F,17/05/2021,Jalisco,81-6663-7165,27269,true
CLI-002767,Pedro,Centeno Prado,,M,06/09/2019,Nuevo León,33-6576-5725 ext. 216,27886,False
CLI-045683,Miriam,Zedillo Ulibarri,alvaro88@example.com,F,30/12/2020,Jalisco,33-5987-0501,32924,FALSE
CLI-030464,Fabiola,Zarate Gutiérrez,ecrespo@example.org,M,12/07/2021,Jalisco,998-6740-7991 ext. 4736,42217,true
CLI-034382,Ramón,Lugo Munguía,acaraballo@example.com,F,03/10/2019,Jalisco,442-4745-9471,93337,False
CLI-000693,Eugenia,Carvajal Ríos,lcasas@example.com,F,04/01/2022,Jalisco,55-2394-8653,37871,True
CLI-024430,Elisa,Mercado Paredes,elisazambrano@example.com,n/a,28/03/2019,Jalisco,33-9860-5278,59194,true
CLI-026096,Guadalupe,Girón Naranjo,eduardooquendo@example.net,F,21/10/2021,Nuevo León,222-5157-0751,72202,true
CLI-046974,Paola,Zepeda Pizarro,rquinonez@example.net,F,11/12/2021,Nuevo León,81-8417-8540 ext. 9729,26960,TRUE
CLI-030860,Teresa,González Caballero,treyes@example.org,F,30/01/2024,Jalisco,998-5922-5753,45755,TRUE
CLI-028046,Abelardo,Jiménez Gaona,sofia31@example.org,F,19/02/2021,Jalisco,81-1420-6269,,true
CLI-028221,María José,Robles Ávalos,jrosario@example.org,F,05/04/2019,Jalisco,33-1414-8265 ext. 5496,16166,TRUE
CLI-003238,Elsa,Barajas Baeza,,F,07/10/2024,Jalisco,33-1919-8613,81459,TRUE
CLI-036986,Omar,Granados Páez,qsarabia@example.org,F,02/09/2019,Jalisco,55-8093-1695,14643,true
CLI-050605,Gilberto,Castillo Henríquez,uvalle@example.com,M,31/01/2019,Nuevo León,222-3988-4245,26440,FALSE
CLI-050662,Gerónimo,Frías Gálvez,rufinobatista@example.net, ,03/12/2022,Jalisco,55-2427-9111 ext. 8625,53867,TRUE
CLI-018251,Andrea,Cabrera Huerta,espartarivas@example.com,M,01/08/2022,Nuevo León,81-8069-5652,58044,TRUE
CLI-042834,Isaac,Ledesma Pedraza,darriaga@example.org,F,14/06/2023,Jalisco,55-8924-4129,52279,TRUE
CLI-030058,Luis Manuel,de León Gallardo,adamecaridad@example.org,M,24/03/2023,Jalisco,33-5097-1684,14778,True
CLI-008858,Eloisa,Heredia Flores,veragraciela@example.net,F,24/01/2024,Jalisco,81-5539-9760 ext. 6325,33313,False
CLI-017348,Elvia,Melgar Salgado,gamboaperla@example.org,NULL,19/12/2019,Jalisco,222-4377-3739 ext. 6051,63971,TRUE
CLI-030675,Conchita,Casanova Chávez,ariasbeatriz@example.net,F,30/04/2021,Nuevo León,33-2727-0836,N/A,TRUE
CLI-025750,Pedro,Urías Benítez,isabelcamarillo@example.net,M,13/10/2024,Nuevo León,998-3956-5304,40254,False
CLI-019678,Camila,Sánchez Cisneros,lilianacastellanos@example.net,No especificado,06/06/2024,Nuevo León,998-5257-1867 ext. 4977,none,false
CLI-002968,Marisol,Huerta Tello,negrontania@example.net,M,27/10/2023,Jalisco,442-5884-9354,76424,true
CLI-041617,Genaro,Cepeda Vela,raulordonez@example.com,F,26/02/2022,Jalisco,222-6740-4645,84512,true
CLI-043627,Isabela,Salas Carmona,leoncarla@example.com,M,30/04/2023,Jalisco,442-6645-9601,81432,False
CLI-007850,Camilo,Cuellar Ríos,eduardo31@example.org,F,14/02/2019,Jalisco,998-7168-1016,55080,true
CLI-012551,Celia,Tórrez Escamilla,olgasaldivar@example.net,M,02/04/2024,Jalisco,81-3640-5030,99126,false
CLI-002933,César,Heredia Mondragón,vicentecuellar@example.org,M,20/05/2021,Jalisco,222-6144-7007,72480,True
CLI-038336,Pedro,Torres Cadena,ozunamartha@example.com,M,27/06/2022,Jalisco,222-4129-8346 ext. 2199,99525,TRUE
CLI-004484,Inés,Alonso Colón,,F,19/05/2023,Nuevo León,33-5821-4414,86414,TRUE
CLI-035063,Sara,Cervantes Raya,susana92@example.net,F,25/11/2022,Nuevo León,222-5018-0282,83887,True
CLI-011013,Margarita,Gallegos Bustamante,ojedavictor@example.org,M,26/02/2021,Nuevo León,442-3557-9765,23231,true
CLI-005595,Judith,Gaona Haro,ydiaz@example.com,No especificado,03/11/2023,Nuevo León,442-6085-3475 ext. 6955,67222,True
CLI-045887,Socorro,Navarro Montero,,M,10/05/2021,Nuevo León,442-2576-6829,58356,True
CLI-023466,Delia,Crespo Gaitán,ymartinez@example.com,M,13/09/2023,Nuevo León,442-3738-4705,15020,TRUE
CLI-017149,Aurelio,Farías Gamboa,,None,28/10/2021,Nuevo León,33-0568-9405,36019,TRUE
CLI-018053,Felipe,Tejada Santacruz,guillermo79@example.net,F,04/01/2022,Jalisco,81-6125-9454,71114,True
CLI-014603,Gerardo,Padrón Corrales,luis-miguelmontalvo@example.org,M,18/02/2021,Nuevo León,55-3619-2244,65626,True
CLI-007371,Nayeli,Quiroz Castellanos,cabreraemilia@example.net,M,10/04/2019,Jalisco,81-5066-9432 ext. 3721,60140,true
CLI-003920,Adriana,Covarrubias Rubio,estevezsusana@example.net,null,20/04/2023,Nuevo León,55-3955-9610,29657,TRUE
CLI-012437,Dolores,Mena Navarro,antonia35@example.org,M,01/11/2024,Jalisco,81-7168-7514,91834,TRUE
CLI-011330,Pedro,Cortez Jimínez,carvajalsandra@example.com,F,05/07/2019,Jalisco,998-9060-6058,79331,TRUE
CLI-003834,Jos,Caraballo Ocasio,marcos04@example.com,F,29/09/2022,Nuevo León,81-4412-3326,71896,true
